0,0,21,48,62,80,107,138,155,185,211,241,262,274,297,322,339,364,392,420,452,2018010,leftRight
1,21,27,41,59,86,117,134,164,190,220,241,253,276,301,318,343,371,399,431,457,2018010,leftRight
2,27,14,32,59,90,107,137,163,193,214,226,249,274,291,316,344,372,404,430,459,2018010,leftRight
3,14,18,45,76,93,123,149,179,200,212,235,260,277,302,330,358,390,416,445,470,2018010,leftRight
4,18,27,58,75,105,131,161,182,194,217,242,259,284,312,340,372,398,427,452,477,2018010,leftRight
5,27,31,48,78,104,134,155,167,190,215,232,257,285,313,345,371,400,425,450,464,2018010,leftRight
6,31,17,47,73,103,124,136,159,184,201,226,254,282,314,340,369,394,419,433,442,2018010,leftRight
7,17,30,56,86,107,119,142,167,184,209,237,265,297,323,352,377,402,416,425,455,2018010,leftRight
8,30,26,56,77,89,112,137,154,179,207,235,267,293,322,347,372,386,395,425,457,2018010,leftRight
9,26,30,51,63,86,111,128,153,181,209,241,267,296,321,346,360,369,399,431,457,2018010,leftRight
10,30,21,33,56,81,98,123,151,179,211,237,266,291,316,330,339,369,401,427,448,2018010,leftRight
11,21,12,35,60,77,102,130,158,190,216,245,270,295,309,318,348,380,406,427,452,2018010,leftRight
12,12,23,48,65,90,118,146,178,204,233,258,283,297,306,336,368,394,415,440,468,2018010,leftRight
13,23,25,42,67,95,123,155,181,210,235,260,274,283,313,345,371,392,417,445,469,2018010,leftRight
14,25,17,42,70,98,130,156,185,210,235,249,258,288,320,346,367,392,420,444,470,2018010,leftRight
15,17,25,53,81,113,139,168,193,218,232,241,271,303,329,350,375,403,427,453,479,2018010,leftRight
16,25,28,56,88,114,143,168,193,207,216,246,278,304,325,350,378,402,428,454,480,2018010,leftRight
17,28,28,60,86,115,140,165,179,188,218,250,276,297,322,350,374,400,426,452,480,2018010,leftRight
18,28,32,58,87,112,137,151,160,190,222,248,269,294,322,346,372,398,424,452,481,2018010,leftRight
19,32,26,55,80,105,119,128,158,190,216,237,262,290,314,340,366,392,420,449,467,2018010,leftRight
20,26,29,54,79,93,102,132,164,190,211,236,264,288,314,340,366,394,423,441,470,2018010,leftRight
