field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14	field15	field16	field17	field18	field19	field20	field21	field22	$N-field2
1007	3	5	9	12	16	18	20	25	28	30	32	35	38	42	45	51	53	56	62	64		2.021
1008	5	4	7	11	13	15	20	23	25	27	30	33	37	40	46	48	51	57	59	63		4.648
1009	4	3	7	9	11	16	19	21	23	26	29	33	36	42	44	47	53	55	59	63		3.595
1010	3	4	6	8	13	16	18	20	23	26	30	33	39	41	44	50	52	56	60	63		2.747
1011	4	2	4	9	12	14	16	19	22	26	29	35	37	40	46	48	52	56	59	61		3.680
1012	2	2	7	10	12	14	17	20	24	27	33	35	38	44	46	50	54	57	59	63		4.002
1013	2	5	8	10	12	15	18	22	25	31	33	36	42	44	48	52	55	57	61	64		2.111
1014	5	3	5	7	10	13	17	20	26	28	31	37	39	43	47	50	52	56	59	62		5.018
1015	3	2	4	7	10	14	17	23	25	28	34	36	40	44	47	49	53	56	59	62		3.154
1016	2	2	5	8	12	15	21	23	26	32	34	38	42	45	47	51	54	57	60	64		2.375
1017	2	3	6	10	13	19	21	24	30	32	36	40	43	45	49	52	55	58	62	65		1.798
1018	3	3	7	10	16	18	21	27	29	33	37	40	42	46	49	52	55	59	62	65		2.538
1019	3	4	7	13	15	18	24	26	30	34	37	39	43	46	49	52	56	59	62	64		4.219
1020	4	3	9	11	14	20	22	26	30	33	35	39	42	45	48	52	55	58	60	63		4.528
1021	3	6	8	11	17	19	23	27	30	32	36	39	42	45	49	52	55	57	60	62		1.680
1022	6	2	5	11	13	17	21	24	26	30	33	36	39	43	46	49	51	54	56	60		4.503
1023	2	3	9	11	15	19	22	24	28	31	34	37	41	44	47	49	52	54	58	62		3.046
1024	3	6	8	12	16	19	21	25	28	31	34	38	41	44	46	49	51	55	59	62		3.021
1025	6	2	6	10	13	15	19	22	25	28	32	35	38	40	43	45	49	53	56	59		5.269
1026	2	4	8	11	13	17	20	23	26	30	33	36	38	41	43	47	51	54	57	61		1.505
1027	4	4	7	9	13	16	19	22	26	29	32	34	37	39	43	47	50	53	57	58		4.050
1028	4	3	5	9	12	15	18	22	25	28	30	33	35	39	43	46	49	53	54	55		4.093
1029	3	2	6	9	12	15	19	22	25	27	30	32	36	40	43	46	50	51	52	55		2.735
1030	2	4	7	10	13	17	20	23	25	28	30	34	38	41	44	48	49	50	53	57		2.211
1031	4	3	6	9	13	16	19	21	24	26	30	34	37	40	44	45	46	49	53	54		1.987
1032	3	3	6	10	13	16	18	21	23	27	31	34	37	41	42	43	46	50	51	54		3.059
1033	3	3	7	10	13	15	18	20	24	28	31	34	38	39	40	43	47	48	51	54		2.679
1034	3	4	7	10	12	15	17	21	25	28	31	35	36	37	40	44	45	48	51	54		2.924
1035	4	3	6	8	11	13	17	21	24	27	31	32	33	36	40	41	44	47	50	53		3.178
1036	3	3	5	8	10	14	18	21	24	28	29	30	33	37	38	41	44	47	50	51		4.059
1037	3	2	5	7	11	15	18	21	25	26	27	30	34	35	38	41	44	47	48	50		3.322
1038	2	3	5	9	13	16	19	23	24	25	28	32	33	36	39	42	45	46	48	52		2.042
1039	3	2	6	10	13	16	20	21	22	25	29	30	33	36	39	42	43	45	49	53		3.217
1040	2	4	8	11	14	18	19	20	23	27	28	31	34	37	40	41	43	47	51	53		2.232
1041	4	4	7	10	14	15	16	19	23	24	27	30	33	36	37	39	43	47	49	53		2.656
1042	4	3	6	10	11	12	15	19	20	23	26	29	32	33	35	39	43	45	49	52		3.798
1043	3	3	7	8	9	12	16	17	20	23	26	29	30	32	36	40	42	46	49	52		2.887
1044	3	4	5	6	9	13	14	17	20	23	26	27	29	33	37	39	43	46	49	51		2.980
1045	4	1	2	5	9	10	13	16	19	22	23	25	29	33	35	39	42	45	47	51		3.881
1046	1	1	4	8	9	12	15	18	21	22	24	28	32	34	38	41	44	46	50	54		1.061
1047	1	3	7	8	11	14	17	20	21	23	27	31	33	37	40	43	45	49	53	56		4.701
1048	3	4	5	8	11	14	17	18	20	24	28	30	34	37	40	42	46	50	53	56		3.295
1049	4	1	4	7	10	13	14	16	20	24	26	30	33	36	38	42	46	49	52	56		1.089
1050	1	3	6	9	12	13	15	19	23	25	29	32	35	37	41	45	48	51	55	56		3.285
1051	3	3	6	9	10	12	16	20	22	26	29	32	34	38	42	45	48	52	53	55		3.055
1052	3	3	6	7	9	13	17	19	23	26	29	31	35	39	42	45	49	50	52	55		3.314
1053	3	3	4	6	10	14	16	20	23	26	28	32	36	39	42	46	47	49	52	54		3.004
1054	3	1	3	7	11	13	17	20	23	25	29	33	36	39	43	44	46	49	51	51		3.094
1055	1	2	6	10	12	16	19	22	24	28	32	35	38	42	43	45	48	50	50	53		1.223
1056	2	4	8	10	14	17	20	22	26	30	33	36	40	41	43	46	48	48	51	56		1.995
1057	4	4	6	10	13	16	18	22	26	29	32	36	37	39	42	44	44	47	52	56		4.194
1058	4	2	6	9	12	14	18	22	25	28	32	33	35	38	40	40	43	48	52	57		3.980
1059	2	4	7	10	12	16	20	23	26	30	31	33	36	38	38	41	46	50	55	59		1.971
1060	4	3	6	8	12	16	19	22	26	27	29	32	34	34	37	42	46	51	55	59		3.800
1061	3	3	5	9	13	16	19	23	24	26	29	31	31	34	39	43	48	52	56	59		2.159
1062	3	2	6	10	13	16	20	21	23	26	28	28	31	36	40	45	49	53	56	62		3.279
1063	2	4	8	11	14	18	19	21	24	26	26	29	34	38	43	47	51	54	60	62		1.927
1064	4	4	7	10	14	15	17	20	22	22	25	30	34	39	43	47	50	56	58	61		4.034
1065	4	3	6	10	11	13	16	18	18	21	26	30	35	39	43	46	52	54	57	59		3.925
1066	3	3	7	8	10	13	15	15	18	23	27	32	36	40	43	49	51	54	56	60		2.468
