0,0,3,6,10,14,18,21,23,26,30,33,37,41,44,49,52,55,58,63,68,2018010,two
1,3,3,7,11,15,18,20,23,27,30,34,38,41,46,49,52,55,60,65,67,2018010,two
2,3,4,8,12,15,17,20,24,27,31,35,38,43,46,49,52,57,62,64,66,2018010,two
3,4,4,8,11,13,16,20,23,27,31,34,39,42,45,48,53,58,60,62,64,2018010,two
4,4,4,7,9,12,16,19,23,27,30,35,38,41,44,49,54,56,58,60,63,2018010,two
5,4,3,5,8,12,15,19,23,26,31,34,37,40,45,50,52,54,56,59,64,2018010,two
6,3,2,5,9,12,16,20,23,28,31,34,37,42,47,49,51,53,56,61,64,2018010,two
7,2,3,7,10,14,18,21,26,29,32,35,40,45,47,49,51,54,59,62,62,2018010,two
8,3,4,7,11,15,18,23,26,29,32,37,42,44,46,48,51,56,59,59,62,2018010,two
9,4,3,7,11,14,19,22,25,28,33,38,40,42,44,47,52,55,55,58,61,2018010,two
10,3,4,8,11,16,19,22,25,30,35,37,39,41,44,49,52,52,55,58,61,2018010,two
11,4,4,7,12,15,18,21,26,31,33,35,37,40,45,48,48,51,54,57,59,2018010,two
12,4,3,8,11,14,17,22,27,29,31,33,36,41,44,44,47,50,53,55,57,2018010,two
13,3,5,8,11,14,19,24,26,28,30,33,38,41,41,44,47,50,52,54,57,2018010,two
14,5,3,6,9,14,19,21,23,25,28,33,36,36,39,42,45,47,49,52,56,2018010,two
15,3,3,6,11,16,18,20,22,25,30,33,33,36,39,42,44,46,49,53,57,2018010,two
16,3,3,8,13,15,17,19,22,27,30,30,33,36,39,41,43,46,50,54,59,2018010,two
17,3,5,10,12,14,16,19,24,27,27,30,33,36,38,40,43,47,51,56,60,2018010,two
18,5,5,7,9,11,14,19,22,22,25,28,31,33,35,38,42,46,51,55,58,2018010,two
19,5,2,4,6,9,14,17,17,20,23,26,28,30,33,37,41,46,50,53,56,2018010,two
20,2,2,4,7,12,15,15,18,21,24,26,28,31,35,39,44,48,51,54,58,2018010,two
21,2,2,5,10,13,13,16,19,22,24,26,29,33,37,42,46,49,52,56,60,2018010,two
22,2,3,8,11,11,14,17,20,22,24,27,31,35,40,44,47,50,54,58,60,2018010,two
23,3,5,8,8,11,14,17,19,21,24,28,32,37,41,44,47,51,55,57,61,2018010,two
24,5,3,3,6,9,12,14,16,19,23,27,32,36,39,42,46,50,52,56,59,2018010,two
25,3,0,3,6,9,11,13,16,20,24,29,33,36,39,43,47,49,53,56,58,2018010,two
26,0,3,6,9,11,13,16,20,24,29,33,36,39,43,47,49,53,56,58,61,2018010,two
27,3,3,6,8,10,13,17,21,26,30,33,36,40,44,46,50,53,55,58,62,2018010,two
28,3,3,5,7,10,14,18,23,27,30,33,37,41,43,47,50,52,55,59,62,2018010,two
29,3,2,4,7,11,15,20,24,27,30,34,38,40,44,47,49,52,56,59,62,2018010,two
30,2,2,5,9,13,18,22,25,28,32,36,38,42,45,47,50,54,57,60,60,2018010,two
31,2,3,7,11,16,20,23,26,30,34,36,40,43,45,48,52,55,58,58,61,2018010,two
32,3,4,8,13,17,20,23,27,31,33,37,40,42,45,49,52,55,55,58,60,2018010,two
33,4,4,9,13,16,19,23,27,29,33,36,38,41,45,48,51,51,54,56,59,2018010,two
34,4,5,9,12,15,19,23,25,29,32,34,37,41,44,47,47,50,52,55,57,2018010,two
35,5,4,7,10,14,18,20,24,27,29,32,36,39,42,42,45,47,50,52,56,2018010,two
36,4,3,6,10,14,16,20,23,25,28,32,35,38,38,41,43,46,48,52,57,2018010,two
37,3,3,7,11,13,17,20,22,25,29,32,35,35,38,40,43,45,49,54,56,2018010,two
38,3,4,8,10,14,17,19,22,26,29,32,32,35,37,40,42,46,51,53,56,2018010,two
39,4,4,6,10,13,15,18,22,25,28,28,31,33,36,38,42,47,49,52,55,2018010,two
40,4,2,6,9,11,14,18,21,24,24,27,29,32,34,38,43,45,48,51,55,2018010,two
41,2,4,7,9,12,16,19,22,22,25,27,30,32,36,41,43,46,49,53,56,2018010,two
42,4,3,5,8,12,15,18,18,21,23,26,28,32,37,39,42,45,49,52,55,2018010,two
43,3,2,5,9,12,15,15,18,20,23,25,29,34,36,39,42,46,49,52,58,2018010,two
44,2,3,7,10,13,13,16,18,21,23,27,32,34,37,40,44,47,50,56,56,2018010,two
45,3,4,7,10,10,13,15,18,20,24,29,31,34,37,41,44,47,53,53,56,2018010,two
46,4,3,6,6,9,11,14,16,20,25,27,30,33,37,40,43,49,49,52,54,2018010,two
47,3,3,3,6,8,11,13,17,22,24,27,30,34,37,40,46,46,49,51,53,2018010,two
48,3,0,3,5,8,10,14,19,21,24,27,31,34,37,43,43,46,48,50,53,2018010,two
49,0,3,5,8,10,14,19,21,24,27,31,34,37,43,43,46,48,50,53,56,2018010,two
50,3,2,5,7,11,16,18,21,24,28,31,34,40,40,43,45,47,50,53,56,2018010,two
51,2,3,5,9,14,16,19,22,26,29,32,38,38,41,43,45,48,51,54,57,2018010,two
52,3,2,6,11,13,16,19,23,26,29,35,35,38,40,42,45,48,51,54,58,2018010,two
53,2,4,9,11,14,17,21,24,27,33,33,36,38,40,43,46,49,52,56,60,2018010,two
54,4,5,7,10,13,17,20,23,29,29,32,34,36,39,42,45,48,52,56,59,2018010,two
55,5,2,5,8,12,15,18,24,24,27,29,31,34,37,40,43,47,51,54,58,2018010,two
56,2,3,6,10,13,16,22,22,25,27,29,32,35,38,41,45,49,52,56,59,2018010,two
57,3,3,7,10,13,19,19,22,24,26,29,32,35,38,42,46,49,53,56,60,2018010,two
58,3,4,7,10,16,16,19,21,23,26,29,32,35,39,43,46,50,53,57,61,2018010,two
59,4,3,6,12,12,15,17,19,22,25,28,31,35,39,42,46,49,53,57,60,2018010,two
60,3,3,9,9,12,14,16,19,22,25,28,32,36,39,43,46,50,54,57,60,2018010,two
61,3,6,6,9,11,13,16,19,22,25,29,33,36,40,43,47,51,54,57,60,2018010,two
62,6,0,3,5,7,10,13,16,19,23,27,30,34,37,41,45,48,51,54,57,2018010,two
63,0,3,5,7,10,13,16,19,23,27,30,34,37,41,45,48,51,54,57,58,2018010,two
64,3,2,4,7,10,13,16,20,24,27,31,34,38,42,45,48,51,54,55,58,2018010,two
65,2,2,5,8,11,14,18,22,25,29,32,36,40,43,46,49,52,53,56,59,2018010,two
66,2,3,6,9,12,16,20,23,27,30,34,38,41,44,47,50,51,54,57,58,2018010,two
67,3,3,6,9,13,17,20,24,27,31,35,38,41,44,47,48,51,54,55,60,2018010,two
68,3,3,6,10,14,17,21,24,28,32,35,38,41,44,45,48,51,52,57,60,2018010,two
69,3,3,7,11,14,18,21,25,29,32,35,38,41,42,45,48,49,54,57,60,2018010,two
70,3,4,8,11,15,18,22,26,29,32,35,38,39,42,45,46,51,54,57,60,2018010,two
71,4,4,7,11,14,18,22,25,28,31,34,35,38,41,42,47,50,53,56,61,2018010,two
72,4,3,7,10,14,18,21,24,27,30,31,34,37,38,43,46,49,52,57,59,2018010,two
73,3,4,7,11,15,18,21,24,27,28,31,34,35,40,43,46,49,54,56,58,2018010,two
74,4,3,7,11,14,17,20,23,24,27,30,31,36,39,42,45,50,52,54,56,2018010,two
75,3,4,8,11,14,17,20,21,24,27,28,33,36,39,42,47,49,51,53,55,2018010,two
76,4,4,7,10,13,16,17,20,23,24,29,32,35,38,43,45,47,49,51,53,2018010,two
77,4,3,6,9,12,13,16,19,20,25,28,31,34,39,41,43,45,47,49,53,2018010,two
78,3,3,6,9,10,13,16,17,22,25,28,31,36,38,40,42,44,46,50,51,2018010,two
79,3,3,6,7,10,13,14,19,22,25,28,33,35,37,39,41,43,47,48,51,2018010,two
80,3,3,4,7,10,11,16,19,22,25,30,32,34,36,38,40,44,45,48,51,2018010,two
81,3,1,4,7,8,13,16,19,22,27,29,31,33,35,37,41,42,45,48,50,2018010,two
82,1,3,6,7,12,15,18,21,26,28,30,32,34,36,40,41,44,47,49,49,2018010,two
83,3,3,4,9,12,15,18,23,25,27,29,31,33,37,38,41,44,46,46,48,2018010,two
