0,0,2,5,8,10,14,16,18,21,24,27,29,33,35,39,41,42,45,48,50,2018010,prime
1,2,3,6,8,12,14,16,19,22,25,27,31,33,37,39,40,43,46,48,50,2018010,prime
2,3,3,5,9,11,13,16,19,22,24,28,30,34,36,37,40,43,45,47,49,2018010,prime
3,3,2,6,8,10,13,16,19,21,25,27,31,33,34,37,40,42,44,46,47,2018010,prime
4,2,4,6,8,11,14,17,19,23,25,29,31,32,35,38,40,42,44,45,47,2018010,prime
5,4,2,4,7,10,13,15,19,21,25,27,28,31,34,36,38,40,41,43,47,2018010,prime
6,2,2,5,8,11,13,17,19,23,25,26,29,32,34,36,38,39,41,45,46,2018010,prime
7,2,3,6,9,11,15,17,21,23,24,27,30,32,34,36,37,39,43,44,45,2018010,prime
8,3,3,6,8,12,14,18,20,21,24,27,29,31,33,34,36,40,41,42,44,2018010,prime
9,3,3,5,9,11,15,17,18,21,24,26,28,30,31,33,37,38,39,41,44,2018010,prime
10,3,2,6,8,12,14,15,18,21,23,25,27,28,30,34,35,36,38,41,43,2018010,prime
11,2,4,6,10,12,13,16,19,21,23,25,26,28,32,33,34,36,39,41,43,2018010,prime
12,4,2,6,8,9,12,15,17,19,21,22,24,28,29,30,32,35,37,39,41,2018010,prime
13,2,4,6,7,10,13,15,17,19,20,22,26,27,28,30,33,35,37,39,41,2018010,prime
14,4,2,3,6,9,11,13,15,16,18,22,23,24,26,29,31,33,35,37,41,2018010,prime
15,2,1,4,7,9,11,13,14,16,20,21,22,24,27,29,31,33,35,39,42,2018010,prime
16,1,3,6,8,10,12,13,15,19,20,21,23,26,28,30,32,34,38,41,45,2018010,prime
17,3,3,5,7,9,10,12,16,17,18,20,23,25,27,29,31,35,38,42,43,2018010,prime
18,3,2,4,6,7,9,13,14,15,17,20,22,24,26,28,32,35,39,40,44,2018010,prime
19,2,2,4,5,7,11,12,13,15,18,20,22,24,26,30,33,37,38,42,42,2018010,prime
20,2,2,3,5,9,10,11,13,16,18,20,22,24,28,31,35,36,40,40,42,2018010,prime
21,2,1,3,7,8,9,11,14,16,18,20,22,26,29,33,34,38,38,40,43,2018010,prime
22,1,2,6,7,8,10,13,15,17,19,21,25,28,32,33,37,37,39,42,45,2018010,prime
23,2,4,5,6,8,11,13,15,17,19,23,26,30,31,35,35,37,40,43,46,2018010,prime
24,4,1,2,4,7,9,11,13,15,19,22,26,27,31,31,33,36,39,42,43,2018010,prime
25,1,1,3,6,8,10,12,14,18,21,25,26,30,30,32,35,38,41,42,44,2018010,prime
26,1,2,5,7,9,11,13,17,20,24,25,29,29,31,34,37,40,41,43,45,2018010,prime
27,2,3,5,7,9,11,15,18,22,23,27,27,29,32,35,38,39,41,43,44,2018010,prime
28,3,2,4,6,8,12,15,19,20,24,24,26,29,32,35,36,38,40,41,41,2018010,prime
29,2,2,4,6,10,13,17,18,22,22,24,27,30,33,34,36,38,39,39,42,2018010,prime
30,2,2,4,8,11,15,16,20,20,22,25,28,31,32,34,36,37,37,40,41,2018010,prime
31,2,2,6,9,13,14,18,18,20,23,26,29,30,32,34,35,35,38,39,41,2018010,prime
32,2,4,7,11,12,16,16,18,21,24,27,28,30,32,33,33,36,37,39,40,2018010,prime
33,4,3,7,8,12,12,14,17,20,23,24,26,28,29,29,32,33,35,36,37,2018010,prime
34,3,4,5,9,9,11,14,17,20,21,23,25,26,26,29,30,32,33,34,36,2018010,prime
35,4,1,5,5,7,10,13,16,17,19,21,22,22,25,26,28,29,30,32,36,2018010,prime
36,1,4,4,6,9,12,15,16,18,20,21,21,24,25,27,28,29,31,35,39,2018010,prime
37,4,0,2,5,8,11,12,14,16,17,17,20,21,23,24,25,27,31,35,36,2018010,prime
38,0,2,5,8,11,12,14,16,17,17,20,21,23,24,25,27,31,35,36,38,2018010,prime
39,2,3,6,9,10,12,14,15,15,18,19,21,22,23,25,29,33,34,36,37,2018010,prime
40,3,3,6,7,9,11,12,12,15,16,18,19,20,22,26,30,31,33,34,35,2018010,prime
41,3,3,4,6,8,9,9,12,13,15,16,17,19,23,27,28,30,31,32,34,2018010,prime
42,3,1,3,5,6,6,9,10,12,13,14,16,20,24,25,27,28,29,31,33,2018010,prime
43,1,2,4,5,5,8,9,11,12,13,15,19,23,24,26,27,28,30,32,35,2018010,prime
44,2,2,3,3,6,7,9,10,11,13,17,21,22,24,25,26,28,30,33,33,2018010,prime
45,2,1,1,4,5,7,8,9,11,15,19,20,22,23,24,26,28,31,31,34,2018010,prime
46,1,0,3,4,6,7,8,10,14,18,19,21,22,23,25,27,30,30,33,35,2018010,prime
47,0,3,4,6,7,8,10,14,18,19,21,22,23,25,27,30,30,33,35,38,2018010,prime
48,3,1,3,4,5,7,11,15,16,18,19,20,22,24,27,27,30,32,35,36,2018010,prime
49,1,2,3,4,6,10,14,15,17,18,19,21,23,26,26,29,31,34,35,38,2018010,prime
50,2,1,2,4,8,12,13,15,16,17,19,21,24,24,27,29,32,33,36,40,2018010,prime
51,1,1,3,7,11,12,14,15,16,18,20,23,23,26,28,31,32,35,39,41,2018010,prime
52,1,2,6,10,11,13,14,15,17,19,22,22,25,27,30,31,34,38,40,44,2018010,prime
53,2,4,8,9,11,12,13,15,17,20,20,23,25,28,29,32,36,38,42,43,2018010,prime
54,4,4,5,7,8,9,11,13,16,16,19,21,24,25,28,32,34,38,39,41,2018010,prime
55,4,1,3,4,5,7,9,12,12,15,17,20,21,24,28,30,34,35,37,41,2018010,prime
