field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14	field15	field16	field17	field18	field19	field20	field21	field22	$N-field2
1648	2	2	4	6	9	12	13	16	19	22	25	28	31	34	35	38	40	45	48	49		1.400
1649	2	2	4	7	10	11	14	17	20	23	26	29	32	33	36	38	43	46	47	49		1.692
1650	2	2	5	8	9	12	15	18	21	24	27	30	31	34	36	41	44	45	47	50		2.585
1651	2	3	6	7	10	13	16	19	22	25	28	29	32	34	39	42	43	45	48	51		2.192
1652	3	3	4	7	10	13	16	19	22	25	26	29	31	36	39	40	42	45	48	50		3.021
1653	3	1	4	7	10	13	16	19	22	23	26	28	33	36	37	39	42	45	47	48		2.379
1654	1	3	6	9	12	15	18	21	22	25	27	32	35	36	38	41	44	46	47	49		1.622
1655	3	3	6	9	12	15	18	19	22	24	29	32	33	35	38	41	43	44	46	46		2.388
1656	3	3	6	9	12	15	16	19	21	26	29	30	32	35	38	40	41	43	43	44		3.363
1657	3	3	6	9	12	13	16	18	23	26	27	29	32	35	37	38	40	40	41	43		2.435
1658	3	3	6	9	10	13	15	20	23	24	26	29	32	34	35	37	37	38	40	42		2.551
1659	3	3	6	7	10	12	17	20	21	23	26	29	31	32	34	34	35	37	39	41		2.626
1660	3	3	4	7	9	14	17	18	20	23	26	28	29	31	31	32	34	36	38	40		3.215
1661	3	1	4	6	11	14	15	17	20	23	25	26	28	28	29	31	33	35	37	39		2.979
1662	1	3	5	10	13	14	16	19	22	24	25	27	27	28	30	32	34	36	38	41		1.283
1663	3	2	7	10	11	13	16	19	21	22	24	24	25	27	29	31	33	35	38	40		3.287
1664	2	5	8	9	11	14	17	19	20	22	22	23	25	27	29	31	33	36	38	41		2.159
1665	5	3	4	6	9	12	14	15	17	17	18	20	22	24	26	28	31	33	36	38		4.955
1666	3	1	3	6	9	11	12	14	14	15	17	19	21	23	25	28	30	33	35	37		3.030
1667	1	2	5	8	10	11	13	13	14	16	18	20	22	24	27	29	32	34	36	40		1.105
1668	2	3	6	8	9	11	11	12	14	16	18	20	22	25	27	30	32	34	38	39		2.049
1669	3	3	5	6	8	8	9	11	13	15	17	19	22	24	27	29	31	35	36	39		2.002
1670	3	2	3	5	5	6	8	10	12	14	16	19	21	24	26	28	32	33	36	39		3.355
1671	2	1	3	3	4	6	8	10	12	14	17	19	22	24	26	30	31	34	37	39		1.914
