field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14	field15	field16	field17	field18	field19	field20	field21	field22	$N-field2
0	0	7	8	10	12	23	38	43	47	50	55	59	66	68	69	78	85	100	102	104		-0.768
1	7	1	3	5	16	31	36	40	43	48	52	59	61	62	71	78	93	95	97	106		5.551
2	1	2	4	15	30	35	39	42	47	51	58	60	61	70	77	92	94	96	105	114		2.685
3	2	2	13	28	33	37	40	45	49	56	58	59	68	75	90	92	94	103	112	115		1.891
4	2	11	26	31	35	38	43	47	54	56	57	66	73	88	90	92	101	110	113	120		5.224
5	11	15	20	24	27	32	36	43	45	46	55	62	77	79	81	90	99	102	109	115		10.670
6	15	5	9	12	17	21	28	30	31	40	47	62	64	66	75	84	87	94	100	105		15.012
7	5	4	7	12	16	23	25	26	35	42	57	59	61	70	79	82	89	95	100	101		5.337
8	4	3	8	12	19	21	22	31	38	53	55	57	66	75	78	85	91	96	97	103		5.450
9	3	5	9	16	18	19	28	35	50	52	54	63	72	75	82	88	93	94	100	102		3.997
10	5	4	11	13	14	23	30	45	47	49	58	67	70	77	83	88	89	95	97	102		4.234
11	4	7	9	10	19	26	41	43	45	54	63	66	73	79	84	85	91	93	98	107		3.823
12	7	2	3	12	19	34	36	38	47	56	59	66	72	77	78	84	86	91	100	102		6.589
13	2	1	10	17	32	34	36	45	54	57	64	70	75	76	82	84	89	98	100	106		2.229
14	1	9	16	31	33	35	44	53	56	63	69	74	75	81	83	88	97	99	105	109		3.091
15	9	7	22	24	26	35	44	47	54	60	65	66	72	74	79	88	90	96	100	108		8.882
16	7	15	17	19	28	37	40	47	53	58	59	65	67	72	81	83	89	93	101	106		7.177
17	15	2	4	13	22	25	32	38	43	44	50	52	57	66	68	74	78	86	91	92		14.958
18	2	2	11	20	23	30	36	41	42	48	50	55	64	66	72	76	84	89	90	95		3.043
19	2	9	18	21	28	34	39	40	46	48	53	62	64	70	74	82	87	88	93	94		2.348
20	9	9	12	19	25	30	31	37	39	44	53	55	61	65	73	78	79	84	85	88		8.556
21	9	3	10	16	21	22	28	30	35	44	46	52	56	64	69	70	75	76	79	80		8.980
22	3	7	13	18	19	25	27	32	41	43	49	53	61	66	67	72	73	76	77	79		4.241
23	7	6	11	12	18	20	25	34	36	42	46	54	59	60	65	66	69	70	72	78		6.777
24	6	5	6	12	14	19	28	30	36	40	48	53	54	59	60	63	64	66	72	78		6.016
25	5	1	7	9	14	23	25	31	35	43	48	49	54	55	58	59	61	67	73	74		4.892
26	1	6	8	13	22	24	30	34	42	47	48	53	54	57	58	60	66	72	73	79		1.691
27	6	2	7	16	18	24	28	36	41	42	47	48	51	52	54	60	66	67	73	79		5.178
28	2	5	14	16	22	26	34	39	40	45	46	49	50	52	58	64	65	71	77	79		2.268
29	5	9	11	17	21	29	34	35	40	41	44	45	47	53	59	60	66	72	74	78		4.813
30	9	2	8	12	20	25	26	31	32	35	36	38	44	50	51	57	63	65	69	71		8.422
31	2	6	10	18	23	24	29	30	33	34	36	42	48	49	55	61	63	67	69	70		3.276
32	6	4	12	17	18	23	24	27	28	30	36	42	43	49	55	57	61	63	64	67		5.445
33	4	8	13	14	19	20	23	24	26	32	38	39	45	51	53	57	59	60	63	65		4.458
34	8	5	6	11	12	15	16	18	24	30	31	37	43	45	49	51	52	55	57	66		6.545
35	5	1	6	7	10	11	13	19	25	26	32	38	40	44	46	47	50	52	61	62		4.228
36	1	5	6	9	10	12	18	24	25	31	37	39	43	45	46	49	51	60	61	63		1.687
37	5	1	4	5	7	13	19	20	26	32	34	38	40	41	44	46	55	56	58	67		4.846
38	1	3	4	6	12	18	19	25	31	33	37	39	40	43	45	54	55	57	66	72		8.698
39	3	1	3	9	15	16	22	28	30	34	36	37	40	42	51	52	54	63	69	71		3.950
40	1	2	8	14	15	21	27	29	33	35	36	39	41	50	51	53	62	68	70	71		4.107
41	2	6	12	13	19	25	27	31	33	34	37	39	48	49	51	60	66	68	69	70		1.617
42	6	6	7	13	19	21	25	27	28	31	33	42	43	45	54	60	62	63	64	66		3.655
43	6	1	7	13	15	19	21	22	25	27	36	37	39	48	54	56	57	58	60	61		5.942
44	1	6	12	14	18	20	21	24	26	35	36	38	47	53	55	56	57	59	60	67		2.712
